Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Ag,Anoda_ANALIZA Ag_amin,Czas_h,Temp_naporowe_amax,Temp_naporowe_mean,kwas [m3]_mean,Elektrolit [m3]_amin,NaCl [kg]_amin,NaCl [kg]_amax,NaCl [kg]_mean,NaCl [kg]_std,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean,Sklad_H2SO4_amax,Sklad_H2SO4_mean,Sklad_Cu_amin,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cl_amin,Sklad_Cl_mean,NaCl_amax,NaCl_mean,NaCl_std
1,1,0,0.16,0.16,0.0043,0.0043,0.0043,0.28,0.28,241.0,62.0433000564575,59.58790506822092,1.7848101265822784,-3.0,0.5,6.0,3.59493670886076,2.1124268356105893,0.062,0.063,0.0623029045643153,4.7,4.86,4.748464730290457,,,,185.7,175.27643153526972,40.79,45.88,43.076390041493774,0.032,0.0346970954356846,50.06,29.975247933884297,17.44587266876577
0,0,1,0.0724734225621415,0.0559,0.0001499971029607,0.0001,0.0002,,,294.0,61.126283454895,59.97989277319213,1.769491525423729,-33.0,1.0,6.0,4.459322033898305,1.6973487373187288,0.016,0.019,0.0176372881355932,5.79,7.15,6.407762711864407,,,,175.83,172.1269152542373,40.88,45.41,42.68494915254237,0.031,0.0336949152542372,50.06,37.14613559322034,14.02772708575542
0,1,0,0.1225,0.1,0.004425,0.0039,0.0046,0.275,0.27,278.0,61.5001166025797,59.582004153846185,1.5107913669064748,-3.0,0.5,6.0,3.683453237410072,2.0588313646479337,0.062,0.063,0.0624316546762589,4.7,4.86,4.769064748201439,,,,185.7,175.61654676258993,40.79,45.88,42.916978417266186,0.032,0.0346187050359712,50.06,30.480827338129497,17.0933293837492
0,1,0,0.1775,0.13,0.0046599999999999,0.0046,0.0048,0.2645,0.26,284.0,61.9294335047403,60.04162341129844,2.0985915492957745,-40.0,1.5,6.0,4.503521126760563,1.4783436425091212,0.049,0.052,0.050669014084507,4.47,4.6,4.527676056338028,,,,180.16,174.5347887323944,42.68,45.93,44.14288732394366,0.032,0.0342042253521126,50.06,37.341654929577466,12.41384450579572
1,1,0,0.14,0.14,0.0048,0.0048,0.0048,0.3,0.3,261.0,61.2958982435323,60.006336053973335,2.133587786259542,-40.0,1.5,6.0,4.530534351145038,1.4923248405926772,0.049,0.052,0.0507519083969465,4.47,4.6,4.524083969465648,,,,180.16,174.20793893129772,42.68,45.93,44.17137404580153,0.032,0.0341603053435114,50.06,37.51759541984733,12.553054456512886
1,1,0,0.1625,0.14,0.0042499999999999,0.0038,0.0044,0.2875,0.28,248.0,62.1852499643961,59.91364965148147,2.0161290322580645,-3.0,0.5,6.0,4.183467741935484,1.888492981148167,0.053,0.054,0.053391129032258,4.54,4.54,4.54,,,,180.9,170.70241935483872,39.67,45.72,41.49737903225807,0.03,0.033758064516129,50.05,34.66822580645161,15.66430704046996
1,1,0,0.1325,0.1,0.0042,0.004,0.0044,0.29,0.28,231.0,62.1852499643961,59.900752960397696,2.1379310344827585,-3.0,0.5,6.0,4.107758620689655,1.9168946235411224,0.053,0.054,0.053353448275862,4.54,4.54,4.54,,,,180.9,170.54275862068965,39.67,45.72,41.45,0.03,0.0337413793103448,50.05,34.02754310344828,15.888634438715574
0,1,0,0.15,0.15,0.0046,0.0043,0.0047,0.3,0.3,254.0,61.7421001434326,59.77750205901161,1.559055118110236,-34.0,0.5,6.0,3.320866141732284,2.1274596640893924,0.053,0.058,0.0553031496062992,4.68,4.84,4.753700787401575,,,,181.4,175.71055118110235,42.73,45.36,43.81456692913385,0.032,0.0351889763779527,50.05,27.269094488188976,17.61941817442523
0,1,0,0.14,0.14,0.0042499999999999,0.0042,0.0044,0.2975,0.26,275.0,62.1852499643961,59.88921074727487,1.916967509025271,-33.0,0.5,6.0,4.593862815884476,1.7336812291481778,0.053,0.054,0.0535126353790613,4.54,4.54,4.54,,,,180.9,170.97985559566786,39.67,43.47,41.57216606498195,0.03,0.0334368231046931,50.05,38.03335740072202,14.536818195610644
0,1,0,0.145,0.13,0.004825,0.0047,0.0051,0.2675,0.24,270.0,62.2466500600179,60.19840985488084,1.5055350553505535,-22.0,0.5,6.0,3.433579335793358,2.048309536110096,0.068,0.069,0.0684797047970479,4.66,4.96,4.816088560885609,,,,179.88,174.97055350553504,41.68,46.25,43.88667896678968,0.032,0.0350221402214022,50.02,28.41158671586716,17.084973603390896
1,1,0,0.15,0.14,0.0044,0.0043,0.0045,0.295,0.29,232.0,61.7421001434326,59.7933423476123,1.5344827586206895,-34.0,0.5,6.0,3.5625,2.067417560137615,0.053,0.058,0.0552629310344827,4.68,4.84,4.7524137931034485,,,,181.4,175.69103448275862,42.73,45.36,43.84275862068966,0.032,0.0350258620689655,50.05,29.24969827586207,17.150656049809623
1,1,0,0.14,0.14,0.00435,0.0043,0.0044,0.31,0.29,227.0,61.126283454895,59.96323578402356,1.7763157894736843,-33.0,1.0,6.0,4.337719298245614,1.6080683325869918,0.016,0.019,0.0176710526315789,5.79,7.15,6.392456140350877,,,,175.83,172.0130263157895,40.88,45.41,42.86986842105263,0.032,0.0337236842105263,50.06,35.87328947368421,13.500895390912577
