Cykl_1,HMG,HL,Kondensat [m3]_amax,Kondensat [m3]_std,NaCl [kg]_mean,Sklad_Sb_amin,Sklad_Sb_amax,Sklad_Sb_mean,Sklad_Fe_amax,Sklad_Fe_mean,Sklad_H2SO4_mean,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cl_amin,Tiomocznik_mean,NaCl_amin,NaCl_amax,NaCl_mean,NaCl_std
1,1,0,50.0,18.262901644747824,3.59493670886076,0.22,0.24,0.226058091286307,0.12,0.1046639004149377,175.27643153526972,45.88,43.076390041493774,0.032,22.395578512396693,0.03,50.06,29.975247933884297,17.44587266876577
0,0,1,40.0,14.800824530399003,4.459322033898305,0.22,0.24,0.2290847457627118,0.14,0.1236271186440678,172.1269152542373,45.41,42.68494915254237,0.031,22.316745762711864,0.59,50.06,37.14613559322034,14.02772708575542
0,1,0,50.0,17.165289696080357,3.683453237410072,0.22,0.24,0.2286330935251798,0.12,0.1074964028776978,175.61654676258993,45.88,42.916978417266186,0.032,22.341618705035973,0.03,50.06,30.480827338129497,17.0933293837492
0,1,0,50.0,13.939257209560084,4.503521126760563,0.19,0.22,0.2033098591549295,0.11,0.1044366197183098,174.5347887323944,45.93,44.14288732394366,0.032,22.716619718309857,0.8,50.06,37.341654929577466,12.41384450579572
1,1,0,50.0,14.31467388965487,4.530534351145038,0.19,0.22,0.2024809160305343,0.11,0.1041603053435114,174.20793893129772,45.93,44.17137404580153,0.032,22.71141221374046,0.8,50.06,37.51759541984733,12.553054456512886
1,1,0,50.0,11.65486601335307,4.183467741935484,0.2,0.21,0.2060887096774193,0.11,0.1026935483870967,170.70241935483872,45.72,41.49737903225807,0.03,22.398629032258064,0.08,50.05,34.66822580645161,15.66430704046996
1,1,0,50.0,11.607902245302467,4.107758620689655,0.2,0.21,0.2064655172413793,0.11,0.1022413793103448,170.54275862068965,45.72,41.45,0.03,22.39538793103448,0.08,50.05,34.02754310344828,15.888634438715574
0,1,0,40.0,13.52090424863846,3.320866141732284,0.23,0.23,0.23,0.12,0.1081338582677165,175.71055118110235,45.36,43.81456692913385,0.032,22.27917322834645,0.05,50.05,27.269094488188976,17.61941817442523
0,1,0,30.0,9.828732716645453,4.593862815884476,0.2,0.21,0.2048736462093862,0.11,0.1041516245487364,170.97985559566786,43.47,41.57216606498195,0.03,22.27725631768953,0.08,50.05,38.03335740072202,14.536818195610644
0,1,0,50.0,15.250427417683447,3.433579335793358,0.23,0.25,0.2404059040590406,0.12,0.1084870848708487,174.97055350553504,46.25,43.88667896678968,0.032,22.27738007380074,0.16,50.02,28.41158671586716,17.084973603390896
1,1,0,40.0,12.741437535936104,3.5625,0.23,0.23,0.23,0.12,0.1079568965517241,175.69103448275862,45.36,43.84275862068966,0.032,22.299698275862067,0.05,50.05,29.24969827586207,17.150656049809623
1,1,0,40.0,15.30101400057726,4.337719298245614,0.22,0.24,0.228859649122807,0.14,0.1232894736842105,172.0130263157895,45.41,42.86986842105263,0.032,22.37811403508772,0.59,50.06,35.87328947368421,13.500895390912577
0,1,0,40.0,11.197772079101316,4.016363636363637,0.24,0.24,0.24,0.12,0.1094618181818181,174.55723636363635,45.36,43.89272727272727,0.031,22.259854545454544,0.28,50.05,33.40927272727272,16.305913648339367
1,1,0,40.0,12.76855769356001,3.4346938775510205,0.23,0.23,0.23,0.12,0.1089551020408163,176.048,45.36,43.76632653061225,0.032,22.254244897959182,0.05,50.05,28.197510204081635,17.2618355905691
1,1,0,22.0,9.021775361981042,3.3237704918032787,0.22,0.22,0.22,0.11,0.0987827868852458,174.99659836065572,43.54,42.61831967213114,0.032,16.70512295081967,0.08,49.81,27.427909836065574,11.454610305869286
0,1,0,40.0,14.52508555693834,3.732876712328767,0.22,0.26,0.2292465753424657,0.094,0.0905479452054794,173.02503424657533,46.52,43.34770547945206,0.033,22.71938356164384,1.5,50.05,30.855650684931508,17.416399841067943
0,1,0,50.0,14.61758532514886,3.7878228782287824,0.23,0.25,0.2421771217712177,0.12,0.1106125461254612,175.2378597785978,46.25,43.99284132841328,0.032,22.20642066420664,0.16,50.02,31.334095940959408,16.158365079735653
1,1,0,50.0,16.808098034372414,4.680933852140078,0.2,0.23,0.2120233463035019,0.11,0.103988326848249,176.14770428015564,44.82,43.603501945525295,0.03,26.978482490272373,0.02,50.07,38.91428015564202,13.531719520120362
1,1,0,50.0,14.4776707812979,3.86231884057971,0.23,0.26,0.2427173913043478,0.12,0.1108623188405797,175.1670652173913,46.25,44.024601449275366,0.032,22.188514492753622,0.16,50.02,31.958260869565216,16.067955050655367
1,1,0,40.0,16.16476690865626,4.263948497854077,0.22,0.26,0.2423175965665236,0.12,0.1089484978540772,175.17124463519315,45.35,43.40557939914163,0.032,22.277167381974248,0.5,50.03,35.42922746781116,17.121566993040485
0,1,0,50.0,16.837292294148554,4.579545454545454,0.2,0.23,0.211590909090909,0.11,0.1042045454545454,176.06727272727272,44.82,43.583636363636366,0.03,26.981742424242427,0.02,50.07,38.07174242424242,14.081006245164737
1,1,0,32.0,12.103777215394738,4.0773809523809526,0.23,0.23,0.23,0.12,0.1117063492063492,176.54924603174604,45.36,43.72420634920635,0.031,22.150119047619047,0.05,50.06,33.4413492063492,16.182825895043248
1,1,0,50.0,16.403458293402718,4.70954356846473,0.2,0.23,0.2118257261410788,0.11,0.1040871369294605,176.316265560166,44.73,43.58688796680498,0.03,26.970663900414937,0.02,50.07,39.02589211618257,13.275393031406365
0,1,0,40.0,12.1870014340103,3.692028985507247,0.24,0.25,0.2406521739130434,0.12,0.1109347826086956,174.57347826086956,45.36,44.07782608695652,0.031,22.1531884057971,0.28,50.05,30.787789855072464,16.596276488396875
0,1,0,50.0,14.422926505140216,4.231034482758621,0.19,0.24,0.2134137931034482,0.11,0.1053103448275862,174.67055172413794,45.88,43.53906896551724,0.032,22.718655172413797,0.8,50.06,35.07372413793103,13.438847060081445
0,1,0,30.0,11.604348092887191,4.622529644268774,0.2,0.23,0.203596837944664,0.11,0.105897233201581,171.5635968379447,43.47,41.78782608695652,0.03,22.16407114624506,0.08,50.05,38.34193675889328,12.56636186806505
1,1,0,50.0,18.047785661620225,4.622529644268774,0.22,0.27,0.2342687747035573,0.12,0.1126482213438735,176.1103557312253,45.88,42.69691699604743,0.032,22.15715415019763,0.03,50.06,38.294782608695655,12.133421590639802
