Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA As_amax,Anoda_ANALIZA Ni,Anoda_ANALIZA Ni_amin,Anoda_ANALIZA Ni_amax,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Sn,Anoda_ANALIZA Sn_amin,Anoda_ANALIZA Sn_amax,Anoda_ANALIZA Sn_diff,NaCl [kg]_amin,NaCl [kg]_mean,Natezenie_prad_mean,Sklad_Au_amin,Sklad_Au_amax,Sklad_Au_mean,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Ni_std,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean
1,1,0,0.16,0.16,0.16,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0043,0.0043,0.0043,0.0011,0.0011,0.0011,0.0,0.5,3.59493670886076,13.622301652892563,5.86,6.3,5.993278008298756,0.062,0.063,0.0623029045643153,4.7,4.86,4.748464730290457,0.0736752997451056,,,
0,0,1,0.0724734225621415,0.0559,0.0997,0.2040210614751723,0.178,0.272,0.0001499971029607,0.0001,0.0002,0.0060751549915985,0.0034,0.0077,0.0043,1.0,4.459322033898305,13.364563559322033,4.12,5.02,4.5288135593220336,0.016,0.019,0.0176372881355932,5.79,7.15,6.407762711864407,0.6782964941520917,,,
0,1,0,0.1225,0.1,0.13,0.09,0.06,0.1,0.004425,0.0039,0.0046,0.0005,0.0002,0.0006,0.0003999999999999,0.5,3.683453237410072,13.57627428057554,5.86,6.3,6.049928057553958,0.062,0.063,0.0624316546762589,4.7,4.86,4.769064748201439,0.0793920226815006,,,
0,1,0,0.1775,0.13,0.2,0.118,0.1,0.15,0.0046599999999999,0.0046,0.0048,0.0009,0.0004,0.0011,0.0007,1.5,4.503521126760563,13.78431514084507,4.99,5.84,5.367112676056338,0.049,0.052,0.050669014084507,4.47,4.6,4.527676056338028,0.0647000744720542,,,
1,1,0,0.14,0.14,0.14,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0048,0.0048,0.0048,0.0014,0.0014,0.0014,0.0,1.5,4.530534351145038,13.785469465648855,4.99,5.84,5.343625954198473,0.049,0.052,0.0507519083969465,4.47,4.6,4.524083969465648,0.0641994662452513,,,
1,1,0,0.1625,0.14,0.17,0.09,0.08,0.12,0.0042499999999999,0.0038,0.0044,0.00065,0.0002,0.0008,0.0006,0.5,4.183467741935484,13.541363911290322,5.24,5.6,5.380806451612903,0.053,0.054,0.053391129032258,4.54,4.54,4.54,0.0,,,
1,1,0,0.1325,0.1,0.15,0.095,0.08,0.12,0.0042,0.004,0.0044,0.0011,0.0008,0.0014,0.0006,0.5,4.107758620689655,13.544433189655171,5.24,5.6,5.367241379310345,0.053,0.054,0.053353448275862,4.54,4.54,4.54,0.0,,,
0,1,0,0.15,0.15,0.15,0.1149999999999999,0.1,0.12,0.0046,0.0043,0.0047,0.000275,0.0002,0.0005,0.0003,0.5,3.320866141732284,13.576995078740158,5.34,5.93,5.611771653543307,0.053,0.058,0.0553031496062992,4.68,4.84,4.753700787401575,0.0799090703554323,,,
0,1,0,0.14,0.14,0.14,0.1,0.1,0.1,0.0042499999999999,0.0042,0.0044,0.000275,0.0002,0.0005,0.0003,0.5,4.593862815884476,13.461623646209386,5.24,5.6,5.424548736462094,0.053,0.054,0.0535126353790613,4.54,4.54,4.54,0.0,,,
0,1,0,0.145,0.13,0.15,0.14,0.1,0.16,0.004825,0.0047,0.0051,0.0007,0.0004,0.0011,0.0007,0.5,3.433579335793358,13.514331180811809,6.1,7.0,6.568265682656826,0.068,0.069,0.0684797047970479,4.66,4.96,4.816088560885609,0.1501536728197292,,,
1,1,0,0.15,0.14,0.16,0.07,0.07,0.07,0.0044,0.0043,0.0045,0.00065,0.0006,0.0007,0.0001,0.5,3.5625,13.599575431034484,5.34,5.93,5.607025862068965,0.053,0.058,0.0552629310344827,4.68,4.84,4.7524137931034485,0.0798116905980127,,,
