Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA As_amax,Anoda_ANALIZA Ni,Anoda_ANALIZA Ni_amin,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Sn,Anoda_ANALIZA Sn_amax,Czas_h,Poziom_naporowe_amax,Poziom_naporowe_mean,Poziom_naporowe_std,Poziom_cyrkulacyjne_amin,Poziom_cyrkulacyjne_std,Sklad_Au_amin,Sklad_Au_amax,Sklad_Au_mean,Sklad_Sb_amin,Sklad_Sb_mean,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ca_amin,Sklad_Ni_std,Sklad_H2SO4_amin,Sklad_H2SO4_std,Sklad_Cu_amin,Sklad_Cu_std,Sklad_Cl_amax,Sklad_Cl_mean,Sklad_Cl_std
1,1,0,0.16,0.16,0.16,0.0899999999999999,0.0899999999999999,0.0043,0.0043,0.0043,0.0011,0.0011,241.0,75.5043839772542,75.00091332401182,0.063041803357674,67.0301500956217,5.051937364871337,5.86,6.3,5.993278008298756,0.22,0.226058091286307,0.062,0.063,0.0623029045643153,0.38,0.0736752997451056,169.51,6.479746050553843,40.79,1.3572548264421187,0.038,0.0346970954356846,0.0018471689676423
0,0,1,0.0724734225621415,0.0559,0.0997,0.2040210614751723,0.178,0.0001499971029607,0.0001,0.0002,0.0060751549915985,0.0077,294.0,75.2900666554768,75.00371403687664,0.0612683959229187,66.0697168350219,5.165510816157322,4.12,5.02,4.5288135593220336,0.22,0.2290847457627118,0.016,0.019,0.0176372881355932,0.31,0.6782964941520917,168.75,2.551236790158908,40.88,1.3164782103620662,0.036,0.0336949152542372,0.0015676820846855
0,1,0,0.1225,0.1,0.13,0.09,0.06,0.004425,0.0039,0.0046,0.0005,0.0006,278.0,75.5043839772542,75.0004479252167,0.0577586395959438,67.0301500956217,5.103746630397365,5.86,6.3,6.049928057553958,0.22,0.2286330935251798,0.062,0.063,0.0624316546762589,0.38,0.0793920226815006,169.51,5.93540289505994,40.79,1.3197339490531466,0.038,0.0346187050359712,0.0017138033092272
0,1,0,0.1775,0.13,0.2,0.118,0.1,0.0046599999999999,0.0046,0.0048,0.0009,0.0011,284.0,75.3653666178385,75.00051771373232,0.0694038227020339,68.5605997721354,4.562009120016987,4.99,5.84,5.367112676056338,0.19,0.2033098591549295,0.049,0.052,0.050669014084507,0.32,0.0647000744720542,168.34,3.6533979958853458,42.68,1.257733437850336,0.036,0.0342042253521126,0.0013993372100684
1,1,0,0.14,0.14,0.14,0.0899999999999999,0.0899999999999999,0.0048,0.0048,0.0048,0.0014,0.0014,261.0,75.3653666178385,75.00095514509792,0.0710637402194441,68.5605997721354,4.457092120780271,4.99,5.84,5.343625954198473,0.19,0.2024809160305343,0.049,0.052,0.0507519083969465,0.32,0.0641994662452513,168.34,3.602282528325681,42.68,1.2906134828970566,0.036,0.0341603053435114,0.0014293947163282
1,1,0,0.1625,0.14,0.17,0.09,0.08,0.0042499999999999,0.0038,0.0044,0.00065,0.0008,248.0,75.5590000152587,74.99992270400138,0.0628803483944006,68.5134162902832,4.171582608832668,5.24,5.6,5.380806451612903,0.2,0.2060887096774193,0.053,0.054,0.053391129032258,0.34,0.0,165.24,5.339833713004478,39.67,1.2771989791223337,0.038,0.033758064516129,0.0022419300813691
1,1,0,0.1325,0.1,0.15,0.095,0.08,0.0042,0.004,0.0044,0.0011,0.0014,231.0,75.5590000152587,75.00075451897149,0.0641053409477347,68.5134162902832,4.204808052357632,5.24,5.6,5.367241379310345,0.2,0.2064655172413793,0.053,0.054,0.053353448275862,0.34,0.0,165.24,5.4834863599810415,39.67,1.2809452678474549,0.038,0.0337413793103448,0.0023098535013052
0,1,0,0.15,0.15,0.15,0.1149999999999999,0.1,0.0046,0.0043,0.0047,0.000275,0.0005,254.0,75.4131498972574,74.99924024905778,0.0616380135475356,66.4918501536051,5.565581871744944,5.34,5.93,5.611771653543307,0.23,0.23,0.053,0.058,0.0553031496062992,0.35,0.0799090703554323,168.59,4.606379028937916,42.73,0.7371290917297508,0.039,0.0351889763779527,0.0022606175778826
0,1,0,0.14,0.14,0.14,0.1,0.1,0.0042499999999999,0.0042,0.0044,0.000275,0.0005,275.0,75.5590000152587,75.0008110480849,0.0614471355791845,68.3486170450846,4.379394091010644,5.24,5.6,5.424548736462094,0.2,0.2048736462093862,0.053,0.054,0.0535126353790613,0.34,0.0,165.24,5.026097469824222,39.67,1.1367323821174389,0.038,0.0334368231046931,0.0019855861073267
0,1,0,0.145,0.13,0.15,0.14,0.1,0.004825,0.0047,0.0051,0.0007,0.0011,270.0,75.3518669128418,74.99942406225243,0.0787592468602934,67.3886325836181,4.720533366848287,6.1,7.0,6.568265682656826,0.23,0.2404059040590406,0.068,0.069,0.0684797047970479,0.39,0.1501536728197292,170.02,3.1834454994631183,41.68,1.0844701916401218,0.038,0.0350221402214022,0.0021238218160173
