index_process,Temp_naporowe_amin,Temp_naporowe_amax,Temp_naporowe_mean,Temp_naporowe_std,Temp_cyrkulacyjne_amin,Temp_cyrkulacyjne_amax,Temp_cyrkulacyjne_mean,Temp_cyrkulacyjne_std,Poziom_naporowe_amin,Poziom_naporowe_amax,Poziom_naporowe_mean,Poziom_naporowe_std,Poziom_cyrkulacyjne_amin,Poziom_cyrkulacyjne_amax,Poziom_cyrkulacyjne_mean,Poziom_cyrkulacyjne_std,kwas [m3]_amin,kwas [m3]_amax,kwas [m3]_mean,kwas [m3]_std,Kondensat [m3]_amin,Kondensat [m3]_amax,Kondensat [m3]_mean,Kondensat [m3]_std,Elektrolit [m3]_amin,Elektrolit [m3]_amax,Elektrolit [m3]_mean,Elektrolit [m3]_std,NaCl [kg]_amin,NaCl [kg]_amax,NaCl [kg]_mean,NaCl [kg]_std,Natezenie_prad_amin,Natezenie_prad_amax,Natezenie_prad_mean,Natezenie_prad_std,Spadek_napiecie_amin,Spadek_napiecie_amax,Spadek_napiecie_mean,Spadek_napiecie_std,Sklad_Au_amin,Sklad_Au_amax,Sklad_Au_mean,Sklad_Au_std,Sklad_Sb_amin,Sklad_Sb_amax,Sklad_Sb_mean,Sklad_Sb_std,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Bi_std,Sklad_Ca_amin,Sklad_Ca_amax,Sklad_Ca_mean,Sklad_Ca_std,Sklad_Fe_amin,Sklad_Fe_amax,Sklad_Fe_mean,Sklad_Fe_std,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Ni_std,Sklad_Zawiesina_amin,Sklad_Zawiesina_amax,Sklad_Zawiesina_mean,Sklad_Zawiesina_std,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean,Sklad_Zn_std,Sklad_H2SO4_amin,Sklad_H2SO4_amax,Sklad_H2SO4_mean,Sklad_H2SO4_std,Sklad_Cu_amin,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cu_std,Sklad_Cl_amin,Sklad_Cl_amax,Sklad_Cl_mean,Sklad_Cl_std,Tiomocznik_amin,Tiomocznik_amax,Tiomocznik_mean,Tiomocznik_std,NaCl_amin,NaCl_amax,NaCl_mean,NaCl_std,Klej_amin,Klej_amax,Klej_mean,Klej_std
0,57.0370166142781,62.0433000564575,59.58790506822092,0.8733210249774804,52.6705668767293,58.0109498977661,55.673850221398304,1.08701968848384,74.6675000508626,75.5043839772542,75.00091332401182,0.063041803357674,67.0301500956217,94.6391831715901,81.599176905668,5.051937364871337,0.0,6.0,1.7848101265822784,1.7874625946728626,0.0,50.0,9.113924050632912,18.262901644747824,-3.0,119.0,13.405063291139241,36.34353006580789,0.5,6.0,3.5949367088607596,2.1124268356105893,13.4985,13.64325,13.622301652892563,0.020907023908459367,0.3701895,6.5872675,5.4804168365013775,0.6846072140792168,5.86,6.3,5.993278008298756,0.2026070742990388,0.22,0.24,0.22605809128630705,0.00920941246813814,0.062,0.063,0.06230290456431536,0.00046047062340691354,0.38,0.4,0.39394190871369295,0.009209412468138183,0.098,0.12,0.10466390041493775,0.010130353714951974,4.7,4.86,4.748464730290457,0.07367529974510562,0.0014,0.0016,0.0015394190871369294,9.209412468138174e-05,,,,,169.51,185.7,175.27643153526972,6.479746050553843,40.79,45.88,43.076390041493774,1.3572548264421187,0.032,0.038,0.034697095435684645,0.0018471689676423013,0.03,22.63,22.395578512396693,1.448678563708029,0.03,50.06,29.975247933884297,17.44587266876577,15.71,36.98,26.996528925619835,1.9407085632251966
1,56.8657001495361,61.126283454895,59.97989277319213,0.40153390765366964,54.5684000015258,59.7614168802897,57.31063615448452,0.8973131389219682,74.7144660949707,75.2900666554768,75.00371403687664,0.06126839592291878,66.0697168350219,94.167366917928,82.52496524985028,5.165510816157322,0.0,6.0,1.769491525423729,1.8297665585919816,0.0,40.0,11.552542372881357,14.800824530399003,-33.0,59.0,12.711864406779661,27.00456678905524,1.0,6.0,4.459322033898305,1.6973487373187288,11.21275,13.46025,13.364563559322033,0.23727813210530632,0.35737175,8.487808,6.804809803220339,0.7281411028569109,4.12,5.02,4.5288135593220336,0.44887267995358676,0.22,0.24,0.22908474576271187,0.009974948443413055,0.016,0.019,0.01763728813559322,0.00149624226651196,0.31,0.31,0.31,0.0,0.11,0.14,0.1236271186440678,0.014962422665119627,5.79,7.15,6.4077627118644065,0.6782964941520917,0.001,0.009,0.004633898305084746,0.0039899793773652305,,,,,168.75,175.83,172.1269152542373,2.551236790158908,40.88,45.41,42.68494915254237,1.3164782103620662,0.031,0.036,0.03369491525423729,0.0015676820846855619,0.56,22.55,22.316745762711864,1.3018091492203807,0.59,50.06,37.14613559322034,14.027727085755421,17.74,36.94,26.884169491525423,1.6915791554645394
2,57.0370166142781,61.5001166025797,59.582004153846185,0.8775597414053248,52.6705668767293,58.0109498977661,55.69347994952101,1.0920524681638981,74.6675000508626,75.5043839772542,75.0004479252167,0.05775863959594388,67.0301500956217,94.6391831715901,81.72099658739842,5.103746630397365,0.0,6.0,1.5107913669064748,1.7798182946838328,0.0,50.0,7.76978417266187,17.165289696080357,-3.0,119.0,11.43884892086331,33.87897660363938,0.5,6.0,3.683453237410072,2.0588313646479337,13.089,13.64325,13.576274280575541,0.14583344932084893,0.4174932,8.33307916666667,7.206878512470024,0.7270958577048877,5.86,6.3,6.049928057553958,0.21832806237412616,0.22,0.24,0.22863309352517985,0.009924002835187528,0.062,0.063,0.062431654676258996,0.0004962001417593784,0.38,0.4,0.39136690647482014,0.009924002835187514,0.098,0.12,0.10749640287769785,0.010916403118706269,4.7,4.86,4.769064748201439,0.07939202268150064,0.0014,0.0016,0.0015136690647482014,9.924002835187539e-05,,,,,169.51,185.7,175.61654676258993,5.93540289505994,40.79,45.88,42.916978417266186,1.3197339490531466,0.032,0.038,0.034618705035971226,0.0017138033092272318,0.03,22.63,22.341618705035973,1.3655653958998746,0.03,50.06,30.480827338129497,17.0933293837492,18.76,36.98,26.969928057553958,1.6273253271664427
3,58.170433362325,61.9294335047403,60.04162341129844,0.4480043884905694,54.9569835027058,59.2609499613444,57.23997325241926,0.879371179006709,74.5827501932779,75.3653666178385,75.00051771373232,0.06940382270203399,68.5605997721354,94.435466893514,82.85471967431306,4.562009120016987,0.0,6.0,2.0985915492957745,1.7158988791069711,0.0,50.0,23.239436619718308,13.939257209560083,-40.0,58.0,14.098591549295774,34.65658068219795,1.5,6.0,4.503521126760563,1.4783436425091212,13.6415,13.80375,13.78431514084507,0.020113979096732255,0.4692221,8.27249966666667,7.150125160387324,0.6971116143345069,4.99,5.84,5.367112676056338,0.4230389484711254,0.19,0.22,0.20330985915492958,0.014930786416627966,0.049,0.052,0.050669014084507046,0.0014930786416627888,0.32,0.35,0.3366901408450704,0.014930786416627956,0.1,0.11,0.10443661971830986,0.004976928805542657,4.47,4.6,4.527676056338028,0.06470007447205427,0.001,0.0022,0.001667605633802817,0.000597231456665118,,,,,168.34,180.16,174.5347887323944,3.6533979958853458,42.68,45.93,44.14288732394366,1.257733437850336,0.032,0.036,0.03420422535211268,0.0013993372100684707,0.89,22.85,22.716619718309857,1.3026246336327734,0.8,50.06,37.341654929577466,12.413844505795721,18.54,37.33,27.450035211267608,1.5934540340007
4,58.170433362325,61.2958982435323,60.006336053973335,0.4099605544113347,54.9569835027058,59.2609499613444,57.223363254083296,0.9027507641803373,74.5827501932779,75.3653666178385,75.00095514509792,0.07106374021944417,68.5605997721354,94.435466893514,83.1011874236588,4.4570921207802705,0.0,6.0,2.133587786259542,1.777169417859092,0.0,50.0,22.587786259541986,14.31467388965487,-40.0,58.0,11.30916030534351,34.66003241201298,1.5,6.0,4.530534351145038,1.4923248405926772,13.6415,13.80375,13.785469465648855,0.018727554199719873,0.61235385,6.46610933333333,5.67204786456743,0.6765857075741665,4.99,5.84,5.343625954198473,0.41976574083434204,0.19,0.22,0.20248091603053434,0.014815261441212098,0.049,0.052,0.050751908396946564,0.0014815261441212045,0.32,0.35,0.3375190839694656,0.01481526144121211,0.1,0.11,0.10416030534351145,0.004938420480404028,4.47,4.6,4.524083969465648,0.06419946624525136,0.001,0.0022,0.0017007633587786258,0.0005926104576484846,,,,,168.34,180.16,174.20793893129772,3.602282528325681,42.68,45.93,44.17137404580153,1.2906134828970566,0.032,0.036,0.03416030534351145,0.001429394716328249,0.89,22.85,22.71141221374046,1.3559495372013148,0.8,50.06,37.51759541984733,12.553054456512886,18.54,37.33,27.463740458015266,1.6584530186708613
5,57.8718334197998,62.1852499643961,59.91364965148147,0.7349396211680926,53.4010829925537,57.9207166671752,56.003466746175704,0.9512360209831494,74.6174162546793,75.5590000152587,74.99992270400138,0.06288034839440065,68.5134162902832,91.3171829223632,81.84626126212454,4.171582608832668,0.0,5.0,2.0161290322580645,1.716714076994089,0.0,50.0,5.314516129032258,11.65486601335307,-3.0,106.0,22.991935483870968,35.943724788957574,0.5,6.0,4.183467741935484,1.888492981148167,11.3085,13.5785,13.541363911290322,0.20693079305750697,0.407574683333333,6.75206766666667,5.723328666411289,0.7614393562964754,5.24,5.6,5.380806451612903,0.17603641863816896,0.2,0.21,0.20608870967741935,0.004889900517726926,0.053,0.054,0.05339112903225806,0.0004889900517726889,0.34,0.35,0.34391129032258067,0.0048899005177269585,0.098,0.11,0.10269354838709678,0.005867880621272341,4.54,4.54,4.54,0.0,0.0012,0.0024,0.0019306451612903224,0.0005867880621272342,,,,,165.24,180.9,170.70241935483872,5.339833713004478,39.67,45.72,41.49737903225807,1.2771989791223337,0.03,0.038,0.03375806451612903,0.002241930081369173,0.02,22.56,22.398629032258064,1.4320947171293628,0.08,50.05,34.66822580645161,15.66430704046996,18.55,36.93,27.073306451612904,1.6970885866357655
6,57.8718334197998,62.1852499643961,59.900752960397696,0.742350725713917,53.4010829925537,57.9207166671752,55.978034400336064,0.9468589577976932,74.6174162546793,75.5590000152587,75.00075451897149,0.06410534094773472,68.5134162902832,91.3171829223632,81.69091327190395,4.204808052357632,0.0,5.0,2.1379310344827585,1.6897785491024309,0.0,50.0,5.4655172413793105,11.607902245302467,-3.0,106.0,24.120689655172413,36.27675132875328,0.5,6.0,4.107758620689655,1.9168946235411222,11.3085,13.5785,13.544433189655173,0.2091535840178954,0.37736135,6.6176335,5.755083817090517,0.7967596920489919,5.24,5.6,5.367241379310345,0.1724666287158176,0.2,0.21,0.2064655172413793,0.004790739686550509,0.053,0.054,0.05335344827586207,0.0004790739686550597,0.34,0.35,0.3435344827586207,0.004790739686550504,0.098,0.11,0.10224137931034483,0.005748887623860635,4.54,4.54,4.54,0.0,0.0012,0.0024,0.001975862068965517,0.0005748887623860624,,,,,165.24,180.9,170.54275862068965,5.4834863599810415,39.67,45.72,41.449999999999996,1.2809452678474549,0.03,0.038,0.03374137931034483,0.002309853501305259,0.02,22.55,22.39538793103448,1.479829703970745,0.08,50.05,34.02754310344828,15.888634438715574,18.55,36.93,27.090043103448277,1.752449244090225
7,54.2298666000366,61.7421001434326,59.77750205901161,0.9843792072225561,53.0756995519002,59.0469666798909,55.87094997220349,1.145535711835417,74.7375170389811,75.4131498972574,74.99924024905778,0.061638013547535675,66.4918501536051,94.2283668518066,81.34516718381342,5.565581871744944,0.0,5.0,1.5590551181102361,1.880431971678859,0.0,40.0,17.19685039370079,13.52090424863846,-34.0,116.0,24.708661417322833,42.57337033219499,0.5,6.0,3.3208661417322833,2.1274596640893924,13.089,13.64325,13.576995078740158,0.14333621137554828,0.3582873,8.604083,7.085080423444882,0.7471643485920831,5.34,5.93,5.611771653543307,0.2946646969356521,0.23,0.23,0.23,0.0,0.053,0.058,0.055303149606299215,0.0024971584486072184,0.35,0.38,0.3661811023622047,0.014982950691643362,0.098,0.12,0.10813385826771654,0.010987497173871779,4.68,4.84,4.753700787401575,0.07990907035543238,0.0006,0.0022,0.0014629921259842519,0.0007990907035543117,,,,,168.59,181.4,175.71055118110237,4.606379028937916,42.73,45.36,43.81456692913385,0.7371290917297508,0.032,0.039,0.035188976377952756,0.0022606175778826197,0.02,22.6,22.279173228346455,1.548978914441127,0.05,50.05,27.269094488188976,17.61941817442523,15.82,36.92,26.920984251968505,1.684913356678576
8,57.8718334197998,62.1852499643961,59.889210747274866,0.6961730214643113,53.4010829925537,57.8401831309,56.038012824818736,0.9174651691922712,74.6174162546793,75.5590000152587,75.0008110480849,0.061447135579184554,68.3486170450846,90.129666519165,81.58668529795104,4.379394091010644,0.0,5.0,1.9169675090252707,1.627537319756872,0.0,30.0,5.371841155234657,9.828732716645453,-33.0,77.0,13.505415162454874,33.08975726395043,0.5,6.0,4.593862815884476,1.7336812291481778,11.3085,13.5785,13.461623646209386,0.26404993988303954,0.419782116666667,8.27936633333333,6.932719563074609,0.7626304513213406,5.24,5.6,5.424548736462094,0.18026820388948916,0.2,0.21,0.20487364620938628,0.005007450108041386,0.053,0.054,0.053512635379061375,0.0005007450108041228,0.34,0.35,0.3451263537906137,0.005007450108041455,0.098,0.11,0.10415162454873647,0.006008940129649653,4.54,4.54,4.54,0.0,0.0012,0.0024,0.0017848375451263536,0.0006008940129649653,,,,,165.24,180.9,170.97985559566786,5.026097469824222,39.67,43.47,41.57216606498195,1.1367323821174387,0.03,0.038,0.03343682310469314,0.0019855861073267925,0.02,22.56,22.27725631768953,1.3796685103878972,0.08,50.05,38.03335740072202,14.536818195610644,18.79,36.93,26.928303249097475,1.5824860080511964
9,57.8665999094645,62.2466500600179,60.198409854880836,0.6327623842918441,53.6352830251057,59.4035334904988,57.29242463790342,0.8740681551903468,74.6361667633056,75.3518669128418,74.99942406225243,0.07875924686029342,67.3886325836181,91.1843329111735,83.25816280516408,4.7205333668482865,0.0,6.0,1.5055350553505535,1.8234498209965895,0.0,50.0,13.653136531365314,15.250427417683447,-22.0,79.0,11.114391143911439,31.232666533528448,0.5,6.0,3.433579335793358,2.048309536110096,12.98475,13.61975,13.514331180811809,0.19065296147345792,0.37583545,8.53450133333333,7.118373072140222,0.7076845721481015,6.1,7.0,6.568265682656826,0.4504610184591904,0.23,0.25,0.2404059040590406,0.010010244854648683,0.068,0.069,0.06847970479704797,0.0005005122427324397,0.39,0.4,0.39479704797047976,0.005005122427324314,0.096,0.12,0.10848708487084871,0.012012293825578422,4.66,4.96,4.816088560885609,0.1501536728197292,0.001,0.0022,0.0015756457564575646,0.0006006146912789212,,,,,170.02,179.88,174.97055350553504,3.1834454994631183,41.68,46.25,43.886678966789674,1.0844701916401218,0.032,0.038,0.035022140221402216,0.0021238218160173055,0.18,22.72,22.27738007380074,1.3832487790121173,0.16,50.02,28.41158671586716,17.084973603390896,19.0,37.01,26.92771217712177,1.6010394558140615
